2025-03-03 14:27:48,340 INFO    StreamThr :30024 [internal.py:wandb_internal():85] W&B internal server running at pid: 30024, started at: 2025-03-03 14:27:48.336003
2025-03-03 14:27:48,348 DEBUG   HandlerThread:30024 [handler.py:handle_request():158] handle_request: status
2025-03-03 14:27:48,359 INFO    WriterThread:30024 [datastore.py:open_for_write():87] open: /share/nas2_3/adey/github/Neural-Compression-for-Radio-Astronomy/vqvae/wandb/run-20250303_142748-7owlsy21/run-7owlsy21.wandb
2025-03-03 14:27:48,360 DEBUG   SenderThread:30024 [sender.py:send():389] send: header
2025-03-03 14:27:48,378 DEBUG   SenderThread:30024 [sender.py:send():389] send: run
2025-03-03 14:27:48,715 INFO    SenderThread:30024 [dir_watcher.py:__init__():211] watching files in: /share/nas2_3/adey/github/Neural-Compression-for-Radio-Astronomy/vqvae/wandb/run-20250303_142748-7owlsy21/files
2025-03-03 14:27:48,715 INFO    SenderThread:30024 [sender.py:_start_run_threads():1157] run started: 7owlsy21 with start time 1741012068.334868
2025-03-03 14:27:48,738 DEBUG   HandlerThread:30024 [handler.py:handle_request():158] handle_request: run_start
2025-03-03 14:27:48,747 DEBUG   HandlerThread:30024 [system_info.py:__init__():26] System info init
2025-03-03 14:27:48,747 DEBUG   HandlerThread:30024 [system_info.py:__init__():41] System info init done
2025-03-03 14:27:48,747 INFO    HandlerThread:30024 [system_monitor.py:start():194] Starting system monitor
2025-03-03 14:27:48,748 INFO    SystemMonitor:30024 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-03-03 14:27:48,748 INFO    HandlerThread:30024 [system_monitor.py:probe():214] Collecting system info
2025-03-03 14:27:48,761 INFO    SystemMonitor:30024 [interfaces.py:start():188] Started cpu monitoring
2025-03-03 14:27:48,763 INFO    SystemMonitor:30024 [interfaces.py:start():188] Started disk monitoring
2025-03-03 14:27:48,765 INFO    SystemMonitor:30024 [interfaces.py:start():188] Started gpu monitoring
2025-03-03 14:27:48,765 INFO    SystemMonitor:30024 [interfaces.py:start():188] Started memory monitoring
2025-03-03 14:27:48,768 INFO    SystemMonitor:30024 [interfaces.py:start():188] Started network monitoring
2025-03-03 14:27:48,773 DEBUG   HandlerThread:30024 [system_info.py:probe():152] Probing system
2025-03-03 14:27:48,804 DEBUG   HandlerThread:30024 [system_info.py:_probe_git():137] Probing git
2025-03-03 14:27:48,823 DEBUG   HandlerThread:30024 [system_info.py:_probe_git():145] Probing git done
2025-03-03 14:27:48,823 DEBUG   HandlerThread:30024 [system_info.py:probe():200] Probing system done
