2025-03-03 12:29:29,319 INFO    MainThread:411777 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2025-03-03 12:29:29,320 INFO    MainThread:411777 [wandb_setup.py:_flush():79] Configure stats pid to 411777
2025-03-03 12:29:29,320 INFO    MainThread:411777 [wandb_setup.py:_flush():79] Loading settings from /home/adey/.config/wandb/settings
2025-03-03 12:29:29,320 INFO    MainThread:411777 [wandb_setup.py:_flush():79] Loading settings from /share/nas2_3/adey/github/Neural-Compression-for-Radio-Astronomy/vqvae/wandb/settings
2025-03-03 12:29:29,320 WARNING MainThread:411777 [wandb_setup.py:_flush():79] Unknown environment variable: WANDB_DATA_DIR
2025-03-03 12:29:29,320 WARNING MainThread:411777 [wandb_setup.py:_flush():79] Unknown environment variable: WANDB_CACHE_DIR
2025-03-03 12:29:29,320 INFO    MainThread:411777 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'project': 'Covariance_Estimation', 'entity': 'deya-03-the-university-of-manchester', 'api_key': '***REDACTED***', '_require_legacy_service': 'true', 'sweep_id': 'pop7xf75', 'root_dir': '/share/nas2_3/adey/github/Neural-Compression-for-Radio-Astronomy/vqvae', 'run_id': 'k3zwpph0', 'sweep_param_path': '/share/nas2_3/adey/github/Neural-Compression-for-Radio-Astronomy/vqvae/wandb/sweep-pop7xf75/config-k3zwpph0.yaml'}
2025-03-03 12:29:29,320 INFO    MainThread:411777 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-03-03 12:29:29,320 INFO    MainThread:411777 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'vqvae/main_autoencoder.py', 'program_abspath': '/share/nas2_3/adey/github/Neural-Compression-for-Radio-Astronomy/vqvae/main_autoencoder.py', 'program': '/share/nas2_3/adey/github/Neural-Compression-for-Radio-Astronomy/vqvae/main_autoencoder.py'}
2025-03-03 12:29:29,320 INFO    MainThread:411777 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-03-03 12:29:29,320 INFO    MainThread:411777 [wandb_init.py:_log_setup():534] Logging user logs to /share/nas2_3/adey/github/Neural-Compression-for-Radio-Astronomy/vqvae/wandb/run-20250303_122929-k3zwpph0/logs/debug.log
2025-03-03 12:29:29,320 INFO    MainThread:411777 [wandb_init.py:_log_setup():535] Logging internal logs to /share/nas2_3/adey/github/Neural-Compression-for-Radio-Astronomy/vqvae/wandb/run-20250303_122929-k3zwpph0/logs/debug-internal.log
2025-03-03 12:29:29,320 INFO    MainThread:411777 [wandb_init.py:init():621] calling init triggers
2025-03-03 12:29:29,320 INFO    MainThread:411777 [wandb_init.py:init():628] wandb.init called with sweep_config: {'num_training_updates': 1003}
config: {'architecture': 'AE'}
2025-03-03 12:29:29,320 INFO    MainThread:411777 [wandb_init.py:init():671] starting backend
2025-03-03 12:29:29,321 INFO    MainThread:411777 [wandb_init.py:init():675] sending inform_init request
2025-03-03 12:29:29,331 INFO    MainThread:411777 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-03 12:29:29,331 INFO    MainThread:411777 [wandb_init.py:init():688] backend started and connected
2025-03-03 12:29:29,345 INFO    MainThread:411777 [wandb_run.py:_config_callback():1390] config_cb None None {'num_training_updates': 1003}
2025-03-03 12:29:29,346 INFO    MainThread:411777 [wandb_init.py:init():783] updated telemetry
2025-03-03 12:29:29,363 INFO    MainThread:411777 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2025-03-03 12:29:29,874 INFO    MainThread:411777 [wandb_init.py:init():867] starting run threads in backend
2025-03-03 12:29:30,021 INFO    MainThread:411777 [wandb_run.py:_console_start():2463] atexit reg
2025-03-03 12:29:30,021 INFO    MainThread:411777 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2025-03-03 12:29:30,021 INFO    MainThread:411777 [wandb_run.py:_redirect():2376] Wrapping output streams.
2025-03-03 12:29:30,021 INFO    MainThread:411777 [wandb_run.py:_redirect():2401] Redirects installed.
2025-03-03 12:29:30,024 INFO    MainThread:411777 [wandb_init.py:init():911] run started, returning control to user process
2025-03-03 12:31:17,922 INFO    MainThread:411777 [wandb_run.py:_finish():2158] finishing run deya-03-the-university-of-manchester/Covariance_Estimation/k3zwpph0
2025-03-03 12:31:17,922 INFO    MainThread:411777 [wandb_run.py:_atexit_cleanup():2426] got exitcode: 0
2025-03-03 12:31:17,923 INFO    MainThread:411777 [wandb_run.py:_restore():2408] restore
2025-03-03 12:31:17,923 INFO    MainThread:411777 [wandb_run.py:_restore():2414] restore done
2025-03-03 12:31:22,225 INFO    MainThread:411777 [wandb_run.py:_footer_history_summary_info():3975] rendering history
2025-03-03 12:31:22,227 INFO    MainThread:411777 [wandb_run.py:_footer_history_summary_info():4007] rendering summary
2025-03-03 12:31:22,240 INFO    MainThread:411777 [wandb_run.py:_footer_sync_info():3934] logging synced files
